date,intu_price,it_price,qcom_price,ntap_price,aapl_price,on_price,intc_price,nxpi_price,swks_price,tel_price,now_price,lrcx_price,klac_price,keys_price,mpwr_price,gddy_price,mu_price,crwd_price,avgo_price,crm_price,jbl_price,snps_price,akam_price,csco_price,msi_price,orcl_price,epam_price,fico_price,nvda_price,cdns_price,cdw_price,tdy_price,trmb_price,wday_price,zbra_price,ibm_price,smci_price,fslr_price,vrsn_price,ftnt_price,adsk_price,mchp_price,amat_price,pltr_price,amd_price,hpe_price,adi_price,rop_price,ptc_price,wdc_price,glw_price,msft_price,dell_price,ffiv_price,ter_price,acn_price,anet_price,aph_price,ctsh_price,hpq_price,panw_price,tyl_price,txn_price,gen_price,ddog_price,stx_price,adbe_price,xlk_calculated_price,app_price
2025-08-08,749.00,229.00,147.56,106.21,229.35,47.66,19.95,207.16,71.08,201.98,872.51,101.75,914.80,164.96,804.29,133.35,118.89,424.49,304.97,240.51,224.34,619.42,70.53,71.79,453.41,250.05,158.00,1320.88,182.70,352.06,162.92,545.93,83.77,222.07,317.66,242.27,44.60,184.65,271.89,74.39,290.68,61.87,184.87,186.96,172.76,20.81,223.95,534.38,205.42,74.97,65.77,522.04,137.61,321.77,107.47,239.20,139.18,109.98,69.58,26.11,167.06,594.35,187.22,30.45,130.91,150.45,341.05,265.60,
2025-08-11,706.09,225.98,147.97,105.88,227.18,47.10,20.65,205.16,70.53,199.86,856.37,102.00,910.18,161.49,797.51,135.77,123.72,426.43,303.90,232.68,222.67,616.12,70.61,70.67,460.94,252.68,151.80,1311.26,182.06,349.09,160.15,542.03,82.59,213.69,312.45,236.30,45.20,182.13,267.42,74.57,284.62,60.95,184.38,182.68,172.28,20.59,224.07,527.48,203.29,74.64,64.98,521.77,138.32,318.11,104.68,238.61,137.65,109.81,69.15,25.51,168.17,584.20,183.71,30.77,128.83,151.69,333.65,263.87,
2025-08-12,713.48,229.39,153.73,107.78,229.65,50.01,21.81,220.05,71.69,204.14,853.43,105.28,935.53,167.09,840.56,140.41,127.75,435.80,312.83,231.66,230.31,625.80,71.97,71.38,471.20,253.86,152.93,1318.70,183.16,353.61,164.06,552.30,83.61,214.60,328.14,234.77,46.43,184.73,263.02,78.47,283.03,64.50,188.45,186.97,174.95,21.32,232.04,519.50,204.55,75.91,65.75,529.24,141.64,326.47,111.63,237.87,141.25,111.85,68.77,26.60,175.40,563.94,192.97,31.85,128.96,155.59,338.43,267.96,
2025-08-13,711.71,242.66,156.59,109.40,233.33,51.89,22.22,230.52,73.65,206.29,863.30,106.74,949.48,170.22,861.80,143.32,124.27,432.12,309.09,237.03,219.08,618.57,75.44,70.40,470.20,244.18,160.80,1335.29,181.59,349.12,167.48,550.12,84.47,223.07,337.80,240.07,46.07,184.84,267.50,79.33,287.01,65.75,190.03,184.37,184.42,21.56,237.63,522.53,208.37,76.07,65.74,520.58,139.14,325.79,114.01,245.68,138.01,109.83,70.42,27.14,176.86,580.30,193.29,32.16,128.71,156.92,351.07,268.06,
2025-08-14,710.64,243.07,158.09,109.56,232.78,51.62,23.86,231.54,75.36,206.97,850.86,107.38,955.41,164.48,848.81,143.63,125.29,424.86,311.23,233.37,217.40,616.36,74.27,69.30,461.61,244.96,159.30,1318.18,182.02,348.92,166.09,541.92,83.67,221.92,327.71,237.11,45.49,180.05,266.82,77.25,283.75,65.99,188.24,181.02,180.95,21.32,236.21,524.96,208.01,76.24,65.76,522.48,138.86,318.50,111.82,246.16,136.48,110.74,69.37,26.93,173.55,573.24,193.71,31.51,124.52,155.73,348.58,266.92,
2025-08-15,716.74,238.69,157.85,108.79,231.59,51.09,24.56,228.78,74.52,202.71,867.24,99.51,874.94,163.40,826.47,145.96,120.87,427.90,306.34,242.44,215.33,617.91,74.42,66.20,460.31,248.28,157.71,1343.16,180.45,349.88,163.76,538.47,82.24,226.09,317.90,239.72,45.37,199.95,269.89,79.11,286.73,65.71,161.76,177.17,177.51,21.16,231.63,529.64,205.84,75.06,65.44,520.17,138.28,315.34,109.42,247.01,137.30,109.21,70.00,26.74,177.09,572.03,194.57,31.47,127.25,154.43,354.85,265.43,
2025-08-18,717.21,238.94,158.90,108.90,230.89,50.53,23.66,232.01,74.26,203.70,892.05,98.88,883.39,164.43,850.31,144.07,123.55,426.34,305.76,243.97,215.66,625.33,75.28,66.95,461.18,249.07,164.60,1350.14,182.01,356.25,165.84,536.59,82.80,231.85,317.48,239.45,45.86,219.33,267.65,80.76,289.65,65.56,163.53,174.03,176.14,21.63,231.55,532.28,208.31,76.29,65.52,517.10,138.13,316.26,110.41,249.13,138.04,111.06,70.10,26.83,176.17,567.82,194.33,31.37,129.07,158.70,357.24,266.01,
2025-08-19,701.03,242.88,156.25,109.16,230.56,49.77,25.31,229.27,74.93,203.39,886.78,100.33,876.08,163.48,844.80,144.62,122.05,418.60,294.91,246.00,206.10,612.79,76.49,66.76,460.41,234.62,167.53,1384.93,175.64,346.88,167.58,543.15,81.12,229.79,312.06,241.28,43.24,210.96,269.23,78.09,289.24,64.71,162.22,157.75,166.55,21.34,230.44,532.59,209.87,75.86,64.52,509.77,135.20,315.48,110.62,255.88,132.78,109.98,70.86,27.00,181.56,570.26,195.94,31.50,128.99,157.93,361.03,261.36,
2025-08-20,699.15,244.20,155.44,108.42,226.01,49.47,23.54,228.77,75.12,201.55,890.25,99.15,878.44,158.51,826.27,146.33,117.21,419.17,291.17,246.45,204.05,601.13,76.06,67.11,462.13,235.06,166.44,1344.11,175.40,345.45,166.91,541.81,80.20,227.49,304.74,242.55,42.61,206.44,271.42,79.61,288.63,66.76,160.96,156.01,165.20,21.04,244.87,540.52,210.89,75.64,64.60,505.72,128.48,315.79,109.52,255.05,131.47,108.65,70.49,26.47,184.43,567.95,200.77,31.44,128.46,158.40,353.43,259.69,
2025-08-21,697.76,244.66,154.13,107.78,224.90,48.81,23.50,223.93,74.52,200.30,876.97,98.41,872.39,160.59,820.74,146.03,115.79,414.06,289.60,245.83,205.06,598.17,76.32,67.02,462.43,233.16,166.40,1361.72,174.98,347.57,164.18,542.44,80.27,227.58,308.51,239.40,42.31,192.00,272.24,77.75,286.06,66.10,159.84,156.18,163.71,21.82,246.95,526.94,211.95,74.66,64.89,504.24,127.83,314.23,109.30,253.99,132.03,108.81,71.08,26.58,183.32,566.67,200.71,31.19,129.15,154.60,353.43,258.31,
2025-08-22,662.66,249.90,158.01,110.52,227.76,51.85,24.80,234.83,77.29,205.00,886.75,100.08,870.28,166.87,844.00,147.07,117.68,420.55,294.00,248.29,209.84,606.52,77.64,67.32,461.91,236.37,174.95,1415.90,177.99,349.63,167.00,551.06,82.58,221.27,322.79,242.09,43.88,202.28,269.55,80.02,290.23,69.14,162.49,158.74,167.76,22.45,252.20,536.84,215.05,76.97,65.77,507.23,130.84,317.23,115.30,259.22,133.25,109.36,72.37,27.74,185.88,561.14,206.06,31.58,131.22,159.21,362.09,262.08,
2025-08-25,656.96,241.47,156.42,111.01,227.16,50.95,24.55,236.67,76.76,205.13,879.94,101.28,879.55,165.32,837.86,145.94,116.42,418.83,294.23,247.87,208.84,597.00,76.52,67.14,460.68,235.41,172.51,1423.87,179.81,345.19,166.46,541.13,81.43,223.39,319.55,239.43,44.07,199.44,266.39,77.64,285.34,68.55,161.99,157.17,163.36,22.56,254.49,530.29,214.35,79.22,66.78,504.26,131.01,315.70,117.07,256.05,133.04,109.73,72.16,27.50,184.55,554.96,205.97,31.13,128.38,164.00,363.21,261.84,
2025-08-26,659.54,243.13,159.17,109.41,229.31,50.99,24.35,237.82,75.67,206.91,864.66,103.63,888.10,164.39,850.64,146.25,116.50,417.60,298.01,243.74,208.37,596.00,76.94,68.39,455.62,234.21,170.28,1420.13,181.77,344.03,163.67,544.77,81.44,222.88,320.58,242.63,44.36,196.72,269.99,77.65,282.45,67.62,164.51,160.87,166.62,22.50,255.63,524.45,212.58,79.71,67.40,502.04,130.99,315.57,118.61,255.42,134.27,109.90,71.68,27.01,184.23,547.18,205.98,30.77,126.31,165.24,354.91,262.82,
2025-08-27,663.17,246.36,159.77,112.13,230.49,51.25,24.85,237.67,76.20,207.57,887.98,103.67,888.89,165.02,866.32,147.87,117.75,422.61,300.25,250.16,207.90,603.17,78.27,68.44,464.41,235.81,173.55,1419.37,181.60,346.88,165.23,541.29,82.18,229.71,321.43,244.84,44.76,191.23,272.37,78.13,285.95,66.65,164.39,156.72,167.13,22.73,255.50,528.66,216.53,80.67,67.25,506.74,132.50,317.74,116.99,257.12,133.27,110.13,72.31,27.11,187.61,560.81,205.47,30.74,131.73,167.24,356.35,264.13,
2025-08-28,668.20,247.73,160.80,117.22,232.56,50.78,24.93,239.07,75.10,208.04,928.60,104.09,894.00,166.53,858.46,147.86,122.00,442.00,308.65,254.53,209.87,612.17,78.39,69.43,470.10,240.32,174.18,1506.37,180.17,354.29,165.87,542.09,82.21,228.50,322.00,245.73,43.97,197.02,272.00,79.29,288.49,65.25,165.27,158.12,168.58,23.16,254.25,526.59,215.03,82.04,68.93,509.64,134.05,318.40,117.89,256.17,136.23,111.94,71.72,28.35,191.02,556.28,204.09,30.21,140.96,172.38,353.96,266.40,
2025-08-29,667.00,251.19,160.73,112.79,232.14,49.59,24.35,234.85,74.94,206.50,917.46,100.15,872.00,163.43,835.76,148.31,119.01,423.70,297.39,256.25,204.83,603.52,79.13,69.09,472.46,226.13,176.36,1521.64,174.18,350.43,164.76,538.17,80.82,230.82,317.09,243.49,41.54,195.19,273.37,78.77,314.70,65.00,160.76,156.71,162.63,22.57,251.31,526.31,213.50,80.34,67.03,506.69,122.15,313.14,118.24,259.97,136.55,108.86,72.25,28.54,190.52,562.88,202.48,30.20,136.68,167.40,356.70,262.27,
2025-09-02,661.99,250.91,158.78,115.37,229.72,48.94,24.21,232.66,73.07,204.56,911.42,97.03,846.35,163.79,823.65,144.39,118.48,413.50,298.24,252.86,202.08,592.01,76.98,67.80,479.00,225.30,174.70,1504.88,170.78,342.81,162.27,537.91,78.57,228.89,307.07,241.50,40.78,195.78,273.20,76.93,319.16,63.60,157.57,157.09,162.32,22.68,248.32,518.99,212.64,81.91,68.47,505.12,120.96,306.73,120.61,256.17,135.87,109.25,71.78,28.94,190.52,552.49,199.81,29.50,134.69,170.50,345.63,259.36,
2025-09-03,668.68,247.58,157.28,116.47,238.47,47.79,24.00,228.20,73.56,205.98,919.38,97.74,843.90,165.32,827.56,143.49,118.72,413.20,302.39,256.45,203.20,592.12,77.56,67.67,474.16,223.45,174.05,1520.75,170.62,347.32,163.37,544.64,78.60,233.43,305.71,244.10,40.10,201.49,274.11,76.58,317.51,63.28,156.25,154.90,162.13,22.82,244.55,524.13,212.24,86.00,69.34,505.35,124.02,309.03,119.63,254.15,137.38,110.69,71.82,28.70,191.53,553.83,195.74,29.66,132.60,176.32,348.50,260.84,
2025-09-04,668.29,236.73,159.71,118.83,239.78,48.06,24.61,225.39,74.64,208.54,898.56,100.42,873.29,166.95,848.11,144.92,124.21,412.46,306.10,244.01,207.97,601.96,77.19,67.99,478.62,223.00,168.09,1518.92,171.66,349.33,166.25,547.00,79.71,231.13,311.25,247.18,40.70,201.87,277.08,76.44,319.93,64.43,158.24,156.14,161.79,23.16,246.11,527.12,213.25,90.49,69.72,507.97,126.67,314.35,119.39,252.94,141.17,112.75,71.45,28.92,192.35,554.23,187.29,29.53,131.78,183.98,344.31,262.74,
2025-09-05,672.82,245.91,159.84,118.75,239.69,49.11,24.49,226.74,75.20,208.74,913.80,102.95,905.09,167.90,865.86,145.24,131.37,417.63,334.89,250.76,210.10,598.14,78.56,66.90,478.98,232.80,169.46,1531.99,167.02,351.01,169.73,549.03,80.74,231.08,313.80,248.53,40.41,205.14,280.09,78.83,326.37,65.92,162.75,153.11,151.14,23.52,247.07,518.44,213.90,92.04,71.19,495.00,124.83,315.89,120.20,254.95,142.85,110.45,71.82,29.34,194.46,559.96,187.93,29.50,136.08,188.16,348.97,262.65,
2025-09-08,671.68,246.26,160.24,121.17,237.88,48.88,24.48,225.50,75.63,207.87,939.33,105.07,908.98,169.29,864.32,148.06,131.46,428.06,345.65,252.27,209.17,609.08,78.88,66.88,478.37,238.48,164.45,1538.20,168.31,360.64,167.85,546.30,81.29,231.81,313.80,256.09,40.04,203.21,282.92,80.36,326.79,65.30,162.05,156.10,151.41,23.50,248.98,523.43,212.73,93.29,72.15,498.20,123.00,320.63,118.90,255.57,140.01,110.54,71.19,29.35,197.38,566.10,185.82,29.91,136.44,189.24,358.66,264.42,
2025-09-09,670.89,246.28,158.66,123.12,234.35,48.62,24.44,223.69,75.06,208.65,933.67,105.57,917.73,169.10,857.87,148.88,135.24,423.51,336.67,252.06,209.22,604.37,78.16,67.34,477.93,241.51,165.02,1546.56,170.76,361.77,168.95,544.76,80.06,230.73,312.17,259.11,42.92,203.06,285.71,79.84,325.19,64.76,163.50,162.36,155.82,23.88,248.18,519.67,204.03,94.54,72.39,498.41,121.29,325.41,115.07,251.99,141.91,116.79,70.78,29.04,197.55,558.41,185.03,29.47,140.46,191.59,354.06,265.19,
2025-09-10,656.26,232.59,158.95,123.53,226.79,48.13,24.77,219.28,73.60,210.35,923.57,107.36,932.63,170.21,855.18,144.97,140.00,424.87,369.57,242.57,215.72,387.78,76.75,68.13,481.70,328.33,153.10,1530.36,177.33,338.53,170.77,544.97,80.16,226.48,306.19,256.88,43.91,203.79,283.48,79.48,323.80,64.74,163.42,166.74,159.54,24.44,247.21,513.23,204.50,95.02,74.93,500.37,124.45,326.69,117.82,243.11,150.72,119.09,69.16,28.37,197.33,545.91,184.01,29.25,139.13,193.04,350.16,269.95,
2025-09-11,660.52,241.12,161.51,125.09,230.03,49.02,24.61,223.21,74.68,212.40,938.28,115.58,959.28,172.37,840.38,148.59,150.57,433.38,359.63,246.28,214.28,438.10,79.20,67.69,490.30,307.86,157.85,1596.56,177.17,354.70,165.73,566.11,82.85,226.67,316.01,257.01,43.95,203.31,289.37,80.89,324.52,65.02,170.15,164.36,155.67,24.86,248.24,517.38,207.03,96.15,75.47,501.01,125.37,334.59,115.56,244.15,153.04,119.47,70.55,28.34,198.33,553.99,184.35,29.67,139.15,196.81,350.55,270.53,
2025-09-12,646.03,247.33,161.83,124.00,234.07,48.26,24.08,218.82,74.46,209.82,928.96,116.96,964.02,170.54,834.14,145.09,157.23,436.10,359.87,242.76,214.06,425.45,76.84,66.53,481.71,292.18,156.09,1544.05,177.82,343.48,164.29,556.29,80.88,223.39,312.65,253.44,45.00,201.70,285.52,79.68,319.05,64.70,167.80,171.43,158.57,24.73,245.21,512.53,205.11,97.66,77.04,509.90,125.04,321.67,112.24,238.54,139.39,118.68,69.17,27.97,196.29,544.99,182.60,29.14,136.50,195.99,349.36,270.91,
2025-09-15,651.33,246.89,161.22,124.16,236.70,48.11,24.77,219.27,72.87,211.15,947.42,119.21,988.91,171.76,849.71,145.55,157.77,444.77,364.09,242.52,216.06,419.20,76.46,67.02,482.43,302.14,154.55,1555.21,177.75,351.52,163.13,556.66,81.01,222.75,320.91,256.24,45.38,207.00,287.96,81.00,321.07,63.17,170.93,171.21,161.16,24.84,244.91,505.23,204.15,102.39,77.98,515.36,126.80,324.10,114.07,237.87,145.43,119.24,68.59,27.75,201.28,539.46,178.20,28.76,138.65,211.12,347.10,273.19,
2025-09-16,651.30,250.88,164.14,123.37,238.15,49.56,25.27,220.99,74.22,212.56,932.01,120.47,990.57,172.07,857.02,144.14,158.82,444.98,360.00,239.31,213.33,425.97,76.38,66.93,476.84,306.65,154.57,1553.54,174.88,349.01,166.15,554.88,80.89,219.01,318.41,257.52,44.91,205.25,287.47,79.78,318.51,64.45,173.54,170.26,160.46,24.43,244.10,502.44,204.95,103.09,78.70,509.04,127.68,323.73,113.93,236.81,142.16,119.04,69.17,27.72,201.34,534.67,177.63,28.60,134.59,211.13,352.73,272.22,
2025-09-17,662.68,253.92,165.26,123.92,238.99,49.80,24.90,221.89,74.49,213.83,950.37,121.90,989.87,172.91,877.66,144.09,159.99,445.50,346.17,242.21,213.64,425.40,75.84,67.72,477.85,301.41,153.46,1551.83,170.29,347.27,167.29,550.87,79.64,234.88,317.32,259.08,44.90,210.71,287.77,80.29,319.28,65.78,178.13,168.33,159.16,24.73,246.32,509.65,203.98,100.94,76.88,510.02,130.34,323.81,114.32,241.24,142.84,118.41,70.03,27.90,203.12,536.38,180.30,28.66,134.23,213.36,362.07,278.67,
2025-09-18,674.96,253.02,168.13,126.36,237.88,51.83,30.57,226.51,77.03,217.31,947.74,126.32,1046.69,177.21,917.78,146.36,168.89,502.63,345.35,244.28,223.29,480.11,77.09,68.68,474.55,296.62,155.87,1522.10,176.24,364.88,162.87,562.63,81.66,233.50,322.88,265.00,45.94,209.63,285.88,80.99,323.04,66.26,189.76,176.97,157.92,25.24,249.05,509.01,206.19,105.15,79.62,508.45,132.11,331.80,118.82,239.55,146.66,122.07,70.26,28.24,205.68,530.05,181.62,28.86,136.81,216.64,367.46,275.87,
2025-09-19,687.92,256.39,166.85,125.16,245.50,51.07,29.58,224.05,78.95,216.17,961.15,126.92,1044.81,178.15,916.36,144.76,162.73,502.55,344.94,247.09,224.34,495.50,76.28,68.21,476.21,308.66,156.20,1477.21,176.67,373.35,161.22,565.41,82.78,233.62,318.54,266.40,45.81,212.49,282.28,84.21,322.67,65.15,190.10,182.39,157.39,24.99,245.33,504.62,205.95,106.63,79.56,517.93,131.94,328.69,119.85,239.70,149.61,123.94,66.94,28.16,208.19,534.32,179.37,28.99,138.82,221.23,365.90,270.50,649.59
2025-09-22,702.09,260.13,169.72,124.61,256.08,51.50,28.76,225.73,82.97,218.59,947.78,132.20,1071.25,177.82,922.81,147.83,164.62,493.14,338.79,249.69,233.23,514.79,76.68,67.75,471.47,328.15,156.43,1538.95,183.61,373.37,164.16,567.92,82.15,242.66,315.41,271.37,46.87,219.20,282.74,85.01,324.39,65.40,200.52,179.33,159.79,25.16,247.34,509.63,205.93,112.41,79.16,514.45,135.69,330.19,135.18,239.99,145.40,123.69,68.16,28.26,208.18,536.16,179.62,28.84,138.35,229.33,364.08,282.22,643.50
2025-09-23,699.18,257.98,169.53,123.44,254.43,50.42,29.34,225.62,81.26,219.66,927.67,131.93,1071.20,177.90,914.27,142.99,166.41,484.10,338.94,244.56,234.45,490.32,75.27,67.54,470.72,313.83,154.04,1534.77,178.43,366.30,164.58,567.91,82.04,240.32,314.05,272.24,46.99,215.73,286.64,85.27,324.86,64.71,200.87,182.55,160.90,24.70,246.78,503.99,204.03,110.25,81.00,509.23,134.34,324.70,134.68,235.50,144.09,125.40,67.67,28.53,203.25,528.39,182.04,28.95,137.49,228.13,361.78,280.06,651.18
2025-09-24,694.79,262.82,173.55,123.25,252.31,50.94,31.22,227.66,80.66,215.56,933.37,128.32,1068.67,174.41,908.45,143.27,161.71,476.33,339.31,245.89,225.28,468.09,76.23,67.32,455.13,308.46,156.43,1543.18,176.97,356.96,160.47,563.92,79.88,241.51,308.48,267.53,46.20,219.17,285.26,83.60,323.52,65.85,201.44,179.56,160.88,24.46,248.61,505.68,203.60,109.69,79.91,510.15,132.09,324.47,133.21,239.08,142.64,123.13,68.36,27.50,200.70,522.89,184.44,29.09,136.57,223.70,353.27,277.80,641.92
2025-09-25,692.68,262.40,169.68,120.78,256.87,49.77,33.99,226.81,79.36,214.47,918.61,128.13,1059.10,172.33,891.39,141.19,156.83,473.09,336.10,240.95,210.20,487.20,75.38,67.85,455.73,291.33,149.99,1548.36,177.69,351.06,156.97,566.00,79.98,242.75,301.97,281.44,46.24,223.05,283.69,83.21,320.17,64.84,199.60,179.12,161.27,24.21,247.53,495.03,202.71,107.21,79.13,507.03,130.96,324.00,132.87,232.56,143.06,122.33,66.67,26.85,202.21,522.22,182.04,28.50,136.60,219.85,354.16,277.63,639.91
2025-09-26,698.26,264.09,169.20,119.88,255.46,50.16,35.50,226.04,79.51,217.04,936.00,128.33,1064.29,173.34,887.55,141.40,157.27,481.42,334.53,243.43,215.84,487.76,76.05,67.22,456.52,283.46,151.84,1518.78,178.19,350.11,164.37,577.11,81.24,246.67,299.77,284.31,45.82,220.02,284.42,84.32,322.88,64.42,203.92,177.57,159.46,24.00,247.56,499.31,202.96,106.88,79.35,511.46,130.76,324.87,135.31,238.97,142.50,122.60,66.98,26.71,202.37,529.72,184.55,28.80,139.07,217.51,360.37,278.53,669.86
2025-09-29,694.69,261.19,165.30,118.57,254.43,49.76,34.48,226.11,76.93,217.78,940.85,131.09,1064.13,173.28,886.59,141.67,163.90,488.45,327.90,245.10,214.51,481.61,76.23,67.72,454.18,282.76,154.50,1525.44,181.85,348.52,162.25,579.35,81.95,247.69,296.92,279.80,46.36,223.53,284.31,84.65,322.03,64.07,204.95,178.86,161.36,24.14,244.79,500.96,203.84,116.74,80.26,514.60,133.90,322.66,134.33,247.00,143.37,121.01,67.08,26.89,203.96,529.23,183.23,28.79,145.26,229.14,359.42,280.85,712.36
